!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,344,56,14,20,1,5,4,1,2,.214,.429,.214,.250
,,,Sinker,150,37,9,6,1,6,2,0,0,.216,.270,.054,.286
,,,Change,9,2,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,135,21,11,3,0,1,0,0,0,.048,.048,.000,.100
,,,Curve,101,20,8,1,1,4,0,0,0,.200,.200,.000,.333
,,,Cutter,74,23,6,1,0,2,0,0,1,.130,.261,.130,.125
,,,Split,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543807&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,George Springer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1186,222,56,50,12,34,9,2,20,.293,.622,.329,.308
,,,Sinker,564,118,22,24,1,24,8,0,7,.331,.576,.246,.360
,,,Change,541,130,21,9,0,23,7,0,8,.292,.531,.239,.297
,,,Slider,290,50,19,7,6,7,5,0,3,.300,.580,.280,.429
,,,Curve,313,68,21,5,2,10,1,0,4,.221,.412,.191,.256
,,,Cutter,151,34,13,3,0,3,1,0,0,.118,.147,.029,.191
,,,Split,30,7,3,2,0,0,0,0,1,.143,.571,.429,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=434567&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Geovany Soto,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1004,234,34,31,1,33,15,0,18,.282,.577,.295,.264
,,,Sinker,657,180,16,33,0,51,17,0,8,.422,.650,.228,.436
,,,Change,705,147,61,14,0,20,6,0,7,.225,.408,.184,.329
,,,Slider,283,53,28,6,2,3,2,0,1,.113,.208,.094,.208
,,,Curve,384,54,27,4,2,8,1,0,0,.167,.185,.019,.333
,,,Cutter,236,56,16,7,1,6,3,0,3,.214,.429,.214,.243
,,,Split,27,3,1,2,0,1,1,0,0,.667,1.000,.333,1.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=608566&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,German Marquez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,41,10,2,0,0,1,1,0,0,.200,.300,.100,.250
,,,Sinker,23,6,2,0,0,3,0,0,0,.500,.500,.000,.750
,,,Change,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,10,5,2,0,0,1,0,0,0,.200,.200,.000,.333
,,,Curve,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=408042&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gerald Laird,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1079,224,48,34,4,33,17,0,6,.250,.406,.156,.294
,,,Sinker,521,132,12,11,0,23,6,1,2,.242,.349,.106,.254
,,,Change,366,118,13,5,0,19,6,0,2,.229,.331,.102,.243
,,,Slider,178,41,22,3,2,3,1,0,0,.098,.122,.024,.211
,,,Curve,209,35,11,4,0,2,5,0,0,.200,.343,.143,.292
,,,Cutter,162,34,9,1,0,1,5,0,0,.177,.324,.147,.240
,,,Split,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543037&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gerrit Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,85,17,7,1,0,4,1,0,1,.353,.588,.235,.556
,,,Sinker,79,13,6,1,0,3,0,0,0,.231,.231,.000,.429
,,,Change,18,6,3,0,0,1,0,0,0,.167,.167,.000,.333
,,,Slider,19,7,4,0,1,0,0,0,0,.000,.000,.000,.000
,,,Curve,11,6,4,0,0,1,0,0,0,.167,.167,.000,.500
,,,Cutter,12,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=639373&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gerson Bautista,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642575&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gerson Moreno,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=444041&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gil Velazquez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,36,10,0,0,0,4,2,0,0,.600,.800,.200,.600
,,,Sinker,26,10,1,0,0,1,0,0,0,.100,.100,.000,.111
,,,Change,11,1,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,12,5,2,0,0,1,0,0,0,.200,.200,.000,.333
,,,Cutter,5,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Slow Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543803&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Giovanni Soto,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547912&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gift Ngoepe,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,70,13,9,4,0,1,1,0,0,.154,.231,.077,.500
,,,Sinker,12,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,14,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,11,3,3,1,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,8,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=461829&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gio Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,132,28,11,0,0,3,0,0,0,.107,.107,.000,.177
,,,Sinker,92,23,7,0,0,1,0,0,0,.044,.044,.000,.063
,,,Change,27,10,6,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,20,7,5,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,37,14,8,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,7,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=467827&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gerardo Parra,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1545,358,66,37,7,66,19,2,9,.268,.408,.140,.307
,,,Sinker,674,182,22,11,4,49,5,1,0,.302,.341,.039,.344
,,,Change,141,44,13,2,2,5,0,0,0,.114,.114,.000,.161
,,,Slider,873,205,53,7,3,34,2,0,0,.176,.185,.010,.237
,,,Curve,475,124,35,1,1,23,0,0,1,.194,.218,.024,.261
,,,Cutter,334,82,14,3,1,22,2,0,3,.329,.463,.134,.369
,,,Split,32,7,4,1,0,1,0,0,0,.143,.143,.000,.333
,,,Screwball,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=606149&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Giovanny Gallegos,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519317&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Giancarlo Stanton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1339,258,64,42,3,31,23,1,25,.310,.698,.388,.325
,,,Sinker,775,156,26,21,1,24,10,2,13,.314,.654,.340,.308
,,,Change,664,180,40,17,0,30,18,0,13,.339,.656,.317,.378
,,,Slider,402,102,48,5,0,3,4,0,11,.177,.539,.363,.163
,,,Curve,460,116,47,11,1,15,6,1,8,.259,.535,.276,.361
,,,Cutter,331,70,21,8,1,13,2,0,6,.300,.586,.286,.349
,,,Split,56,12,1,4,0,1,2,0,0,.250,.417,.167,.273
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=570482&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Giovanny Urshela,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,228,48,10,3,0,11,4,0,2,.354,.563,.208,.417
,,,Sinker,122,27,3,2,0,7,1,0,0,.296,.333,.037,.333
,,,Change,121,36,6,0,0,4,2,0,1,.194,.333,.139,.207
,,,Slider,72,19,8,1,0,4,0,0,0,.211,.211,.000,.364
,,,Curve,45,12,2,0,1,3,0,0,0,.250,.250,.000,.300
,,,Cutter,28,8,1,1,0,1,0,0,0,.125,.125,.000,.143
,,,Split,9,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642098&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Glenn Sparkman,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=450282&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Glen Perkins,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=650402&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gleyber Torres,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,75,20,4,1,0,2,1,0,2,.250,.600,.350,.214
,,,Sinker,51,11,2,3,0,1,0,0,1,.182,.455,.273,.125
,,,Change,52,13,3,1,0,7,1,0,0,.615,.692,.077,.800
,,,Slider,41,7,3,0,0,0,0,1,1,.286,1.000,.714,.333
,,,Curve,30,6,2,0,0,1,1,0,0,.333,.500,.167,.500
,,,Cutter,26,6,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=542674&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gonzalez Germen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=453232&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Graham Godfrey,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=491676&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gorkys Hernandez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,565,114,23,16,0,14,9,0,3,.228,.386,.158,.261
,,,Sinker,276,66,12,6,0,13,2,0,1,.242,.318,.076,.283
,,,Change,178,51,14,2,0,11,1,0,0,.235,.255,.020,.324
,,,Slider,189,57,24,1,0,9,3,0,0,.211,.263,.053,.364
,,,Curve,110,23,6,1,0,3,3,0,0,.261,.391,.130,.353
,,,Cutter,61,12,3,1,0,0,0,0,1,.083,.333,.250,.000
,,,Split,22,6,3,0,0,0,1,0,0,.167,.333,.167,.333
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=346797&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grant Balfour,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594795&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grant Dayton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543204&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grayson Garvin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=606988&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grayson Greiner,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,26,7,1,1,0,1,0,0,0,.143,.143,.000,.167
,,,Sinker,6,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Change,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,7,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502205&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grant Green,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,240,57,11,9,0,6,6,0,0,.211,.316,.105,.261
,,,Sinker,151,30,3,3,0,7,1,0,0,.267,.300,.033,.296
,,,Change,105,27,7,0,0,6,0,0,1,.259,.370,.111,.316
,,,Slider,71,22,11,1,0,4,1,0,0,.227,.273,.046,.455
,,,Curve,58,12,8,0,0,2,1,0,0,.250,.333,.083,.750
,,,Cutter,33,8,1,0,0,1,0,0,0,.125,.125,.000,.143
,,,Split,5,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=429713&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Grady Sizemore,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1104,231,50,43,4,35,12,0,8,.238,.394,.156,.272
,,,Sinker,582,128,16,12,8,27,2,1,2,.250,.328,.078,.273
,,,Change,103,30,11,2,0,7,0,0,2,.300,.500,.200,.412
,,,Slider,461,126,47,7,2,11,6,1,5,.183,.365,.183,.243
,,,Curve,289,61,21,2,1,6,2,3,1,.197,.377,.180,.282
,,,Cutter,141,36,3,0,3,6,2,0,0,.222,.278,.056,.242
,,,Split,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Screwball,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=493596&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gordon Beckham,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1439,253,54,47,3,41,16,0,4,.241,.352,.111,.292
,,,Sinker,731,175,15,13,0,32,15,0,5,.297,.469,.171,.303
,,,Change,638,185,24,6,0,31,5,0,5,.222,.330,.108,.231
,,,Slider,304,90,27,6,4,10,3,0,3,.178,.311,.133,.217
,,,Curve,303,74,15,0,4,11,8,0,2,.284,.473,.189,.333
,,,Cutter,206,51,14,6,2,6,3,0,0,.177,.235,.059,.243
,,,Split,12,6,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=656185&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Allen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,66,20,4,1,0,5,0,0,3,.400,.850,.450,.385
,,,Sinker,41,8,2,1,0,4,0,0,0,.500,.500,.000,.667
,,,Change,23,6,2,0,1,1,1,0,0,.333,.500,.167,.500
,,,Slider,23,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,11,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595885&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Bird,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,196,33,8,7,2,3,2,0,4,.273,.697,.424,.238
,,,Sinker,107,25,9,5,0,5,0,0,0,.200,.200,.000,.313
,,,Change,20,4,1,2,0,0,0,0,2,.500,2.000,1.500,.000
,,,Slider,122,21,11,5,1,2,0,0,1,.143,.286,.143,.222
,,,Curve,56,14,4,0,0,5,0,0,1,.429,.643,.214,.556
,,,Cutter,41,9,5,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457566&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Burke,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594824&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Garcia,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,203,40,10,11,3,10,3,0,1,.350,.500,.150,.448
,,,Sinker,85,20,10,0,0,1,0,0,0,.050,.050,.000,.100
,,,Change,4,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Slider,112,28,11,0,0,2,1,0,1,.143,.286,.143,.188
,,,Curve,29,5,2,0,1,0,0,0,0,.000,.000,.000,.000
,,,Cutter,24,6,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518813&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Holland,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=425785&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Dobbs,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,264,54,10,9,1,11,3,0,0,.259,.315,.056,.318
,,,Sinker,130,28,4,1,0,8,0,0,0,.286,.286,.000,.333
,,,Change,27,6,1,0,1,1,1,0,0,.333,.500,.167,.400
,,,Slider,181,50,22,1,0,4,0,0,0,.080,.080,.000,.143
,,,Curve,86,24,10,0,0,3,0,0,0,.125,.125,.000,.214
,,,Cutter,33,13,3,0,0,5,0,0,0,.385,.385,.000,.500
,,,Split,3,1,0,1,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Screwball,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=657670&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Greg Mahle,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=463610&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gregorio Petit,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,221,56,19,7,0,8,2,0,1,.196,.286,.089,.278
,,,Sinker,183,35,5,2,0,9,2,1,1,.371,.571,.200,.414
,,,Change,94,28,12,2,0,1,3,0,0,.143,.250,.107,.250
,,,Slider,62,15,7,0,0,0,3,0,0,.200,.400,.200,.375
,,,Curve,40,10,6,0,0,1,0,0,0,.100,.100,.000,.250
,,,Cutter,31,10,1,0,0,5,0,0,0,.500,.500,.000,.556
,,,Split,4,2,0,0,0,1,0,0,1,1.000,2.500,1.500,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=500872&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gregory Infante,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642397&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gregory Soto,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605317&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Guido Knudson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=570256&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gregory Polanco,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,787,178,35,19,3,33,12,1,4,.281,.427,.146,.331
,,,Sinker,293,60,13,4,1,9,1,1,0,.183,.233,.050,.234
,,,Change,74,17,11,0,0,1,1,0,1,.177,.412,.235,.400
,,,Slider,546,126,43,8,0,12,7,0,4,.183,.333,.151,.241
,,,Curve,155,34,9,2,0,5,2,0,2,.265,.500,.235,.304
,,,Cutter,142,37,15,2,0,5,0,0,0,.135,.135,.000,.227
,,,Split,12,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=453923&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Gregor Blanco,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1524,287,78,56,5,55,8,2,3,.237,.310,.073,.316
,,,Sinker,618,154,16,11,2,35,11,0,1,.305,.396,.091,.336
,,,Change,86,28,4,1,0,4,0,0,0,.143,.143,.000,.167
,,,Slider,576,147,46,6,0,29,2,6,0,.252,.347,.095,.366
,,,Curve,304,77,22,1,1,15,1,2,0,.234,.299,.065,.327
,,,Cutter,188,51,11,3,0,7,1,1,1,.196,.314,.118,.231
,,,Split,12,4,1,0,0,1,0,1,0,.500,1.000,.500,.667
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457517&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Guilder Rodriguez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,18,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
