!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Screwball,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=421685&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Harang,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,443,104,32,2,0,14,0,0,0,.135,.135,.000,.194
,,,Sinker,249,63,15,0,0,3,0,0,0,.048,.048,.000,.063
,,,Change,8,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,125,50,25,0,0,5,2,0,1,.160,.260,.100,.292
,,,Curve,68,27,20,0,0,0,1,0,0,.037,.074,.037,.143
,,,Cutter,65,20,7,0,0,4,1,0,0,.250,.300,.050,.385
,,,Split,4,2,0,0,0,0,1,0,0,.500,1.000,.500,.500
,,,Knuckler,11,3,0,0,0,1,0,0,0,.333,.333,.000,.333
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543305&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Hicks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1831,394,59,69,3,70,17,3,11,.256,.399,.142,.278
,,,Sinker,1020,259,23,34,1,52,10,2,6,.270,.394,.124,.278
,,,Change,781,167,46,13,0,21,6,1,6,.204,.359,.156,.244
,,,Slider,638,140,67,12,1,7,5,0,4,.114,.236,.121,.174
,,,Curve,683,108,49,7,1,16,2,1,0,.176,.213,.037,.322
,,,Cutter,330,71,15,9,1,8,4,0,4,.225,.451,.225,.231
,,,Split,194,40,13,3,0,8,1,1,1,.275,.425,.150,.385
,,,Knuckler,42,10,2,0,0,1,0,0,0,.100,.100,.000,.125
,,,Slow Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=444836&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Laffey,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,12,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Sinker,6,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
