!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543070&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Crow,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=488811&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Cunningham,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,861,193,55,21,2,21,16,1,4,.218,.373,.155,.284
,,,Sinker,452,108,14,5,3,20,11,1,1,.306,.454,.148,.344
,,,Change,174,54,12,3,0,7,4,1,1,.241,.407,.167,.293
,,,Slider,292,87,22,3,1,10,6,0,2,.207,.345,.138,.254
,,,Curve,179,39,13,1,1,6,0,0,0,.154,.154,.000,.231
,,,Cutter,118,35,8,2,1,2,4,0,0,.171,.286,.114,.222
,,,Split,25,5,0,2,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,7,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Screwball,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=421685&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Harang,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,599,152,44,2,0,21,2,0,0,.151,.165,.013,.213
,,,Sinker,416,98,24,0,0,6,0,0,0,.061,.061,.000,.081
,,,Change,23,5,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,148,59,32,0,0,5,2,0,1,.136,.220,.085,.269
,,,Curve,113,43,31,0,0,0,1,0,0,.023,.047,.023,.083
,,,Cutter,86,24,8,1,0,4,1,0,0,.208,.250,.042,.313
,,,Split,4,2,0,0,0,0,1,0,0,.500,1.000,.500,.500
,,,Knuckler,11,3,0,0,0,1,0,0,0,.333,.333,.000,.333
,,,
