!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1132,254,75,18,4,39,13,2,14,.268,.500,.232,.327
,,,Sinker,475,110,25,9,2,8,11,1,5,.227,.482,.255,.250
,,,Change,212,48,11,4,0,7,2,0,5,.292,.646,.354,.281
,,,Slider,533,144,38,7,2,19,10,0,4,.229,.382,.153,.284
,,,Curve,376,94,40,5,0,11,7,0,6,.255,.521,.266,.375
,,,Cutter,225,68,15,3,1,6,8,0,2,.235,.441,.206,.275
,,,Split,24,6,1,0,0,1,0,0,1,.333,.833,.500,.250
,,,Knuckler,8,2,1,0,0,0,0,0,1,.500,2.000,1.500,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621056&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Hunter Wood,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=435062&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Howie Kendrick,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7915,1717,246,143,23,377,99,13,47,.312,.467,.155,.343
,,,Sinker,4159,1088,89,71,20,277,65,8,13,.334,.444,.110,.355
,,,Change,1801,572,132,10,2,100,38,4,13,.271,.420,.149,.333
,,,Slider,3526,939,275,24,2,149,44,3,15,.225,.326,.101,.302
,,,Curve,1927,505,172,9,3,91,36,4,10,.279,.426,.147,.406
,,,Cutter,1490,364,65,20,1,77,17,3,5,.280,.385,.104,.330
,,,Split,267,86,26,3,0,11,4,0,4,.221,.407,.186,.268
,,,Knuckler,68,21,4,0,0,3,1,0,0,.191,.238,.048,.235
,,,Slow Curve,9,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=434718&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Huston Street,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547943&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Hyun-jin Ryu,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,312,63,31,5,0,9,4,0,0,.206,.270,.064,.406
,,,Sinker,174,40,13,2,1,3,3,1,0,.175,.300,.125,.259
,,,Change,25,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,75,12,5,0,0,2,0,0,0,.167,.167,.000,.286
,,,Curve,78,20,10,0,0,2,0,0,0,.100,.100,.000,.200
,,,Cutter,33,7,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=624420&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Clarkin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547957&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Hyun-Soo Kim,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,953,181,39,30,2,43,11,0,4,.320,.448,.127,.391
,,,Sinker,417,88,6,12,1,22,6,0,2,.341,.477,.136,.350
,,,Change,275,65,10,3,0,13,1,1,0,.231,.277,.046,.273
,,,Slider,252,56,16,6,0,8,4,0,0,.214,.286,.071,.300
,,,Curve,279,68,10,4,0,10,3,1,0,.206,.279,.074,.241
,,,Cutter,141,37,11,3,2,6,1,0,1,.216,.324,.108,.280
,,,Split,69,20,2,2,0,7,0,0,0,.350,.350,.000,.389
,,,Knuckler,35,8,2,1,1,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=452254&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Hunter Pence,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7665,1565,385,215,7,289,84,14,63,.288,.480,.192,.347
,,,Sinker,4803,1166,116,102,8,256,59,11,26,.302,.438,.136,.318
,,,Change,2174,602,108,43,0,97,35,4,29,.274,.490,.216,.293
,,,Slider,4807,1258,336,49,2,212,49,10,42,.249,.404,.155,.308
,,,Curve,2770,626,156,29,2,92,29,5,21,.235,.398,.163,.281
,,,Cutter,1724,470,77,21,3,110,24,3,24,.343,.560,.217,.371
,,,Split,339,95,21,5,0,13,2,0,4,.200,.347,.147,.214
,,,Knuckler,101,27,5,3,0,2,1,0,1,.148,.296,.148,.143
,,,Slow Curve,34,7,1,0,0,0,1,0,1,.286,.857,.571,.200
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571687&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Gardeck,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=664023&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Happ,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1077,208,80,33,3,26,10,1,12,.236,.466,.231,.319
,,,Sinker,476,102,24,21,0,24,4,0,7,.343,.588,.245,.394
,,,Change,354,94,28,4,0,13,5,3,4,.266,.511,.245,.339
,,,Slider,353,85,48,5,1,10,3,0,3,.188,.329,.141,.382
,,,Curve,262,56,33,4,0,7,3,0,3,.232,.446,.214,.500
,,,Cutter,165,39,13,2,1,5,2,0,2,.231,.436,.205,.292
,,,Split,67,16,6,0,0,2,1,0,1,.250,.500,.250,.333
,,,Knuckler,10,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=453178&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Kennedy,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,749,132,56,22,0,14,8,1,1,.182,.280,.099,.307
,,,Sinker,391,76,23,7,0,10,1,0,0,.145,.158,.013,.208
,,,Change,34,8,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,182,42,27,0,1,3,1,0,0,.095,.119,.024,.267
,,,Curve,125,32,29,0,0,1,0,0,0,.031,.031,.000,.333
,,,Cutter,80,21,5,3,0,2,1,0,0,.143,.191,.048,.188
,,,Split,14,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571871&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Krol,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,6,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=622210&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Parmley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,5,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621962&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Thomas,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,10,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,3,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=435622&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Desmond,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,6622,1346,388,142,15,231,83,5,44,.270,.437,.167,.349
,,,Sinker,4117,1026,180,87,16,234,43,10,21,.300,.423,.123,.348
,,,Change,1497,440,93,28,0,70,23,2,21,.264,.468,.205,.291
,,,Slider,3361,965,300,29,2,154,37,6,31,.236,.383,.147,.311
,,,Curve,1761,524,143,13,4,76,21,1,21,.227,.391,.164,.272
,,,Cutter,1410,373,92,22,2,65,24,1,14,.279,.461,.182,.337
,,,Split,311,97,35,3,1,16,3,1,4,.247,.423,.175,.345
,,,Knuckler,124,36,4,0,0,5,1,2,1,.250,.472,.222,.258
,,,Slow Curve,14,6,1,0,0,1,0,0,0,.167,.167,.000,.200
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456655&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Stewart,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2358,459,157,69,10,58,21,3,29,.242,.490,.248,.300
,,,Sinker,1445,320,72,42,5,55,13,2,10,.250,.397,.147,.294
,,,Change,751,181,51,14,1,21,7,4,9,.227,.459,.232,.265
,,,Slider,847,190,75,15,2,19,16,1,9,.237,.474,.237,.340
,,,Curve,847,177,66,6,2,26,3,1,2,.181,.243,.062,.275
,,,Cutter,458,108,27,6,2,13,6,2,3,.222,.398,.176,.269
,,,Split,243,62,23,0,0,11,1,0,1,.210,.274,.065,.316
,,,Knuckler,9,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,12,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=545121&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ildemaro Vargas,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,63,19,3,2,0,3,3,0,1,.368,.684,.316,.400
,,,Sinker,11,4,0,0,0,0,1,0,1,.500,1.500,1.000,.333
,,,Change,14,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,16,4,2,0,0,1,0,0,0,.250,.250,.000,.500
,,,Curve,14,3,1,0,0,1,0,0,0,.333,.333,.000,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=458252&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Irving Falu,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,369,89,6,9,0,17,1,1,0,.214,.247,.034,.229
,,,Sinker,176,46,2,2,0,10,4,0,0,.304,.391,.087,.318
,,,Change,111,29,3,1,0,4,1,0,0,.172,.207,.035,.192
,,,Slider,71,23,7,1,0,7,1,0,0,.348,.391,.044,.500
,,,Curve,82,19,8,0,0,3,1,0,0,.211,.263,.053,.364
,,,Cutter,27,8,2,0,0,2,1,0,0,.375,.500,.125,.500
,,,Split,33,8,0,1,0,2,0,0,0,.250,.250,.000,.250
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=477195&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ike Davis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3063,612,151,110,1,92,37,0,29,.258,.461,.203,.299
,,,Sinker,2081,453,58,75,2,78,27,1,19,.276,.466,.190,.282
,,,Change,1065,250,55,22,0,45,12,0,7,.256,.388,.132,.303
,,,Slider,1167,266,110,29,1,27,14,1,5,.177,.293,.117,.278
,,,Curve,1447,293,113,23,0,37,10,0,10,.195,.331,.137,.277
,,,Cutter,630,158,37,12,0,20,12,0,11,.272,.557,.285,.291
,,,Split,362,98,26,7,0,16,7,0,2,.255,.388,.133,.329
,,,Knuckler,13,5,0,0,0,0,0,0,1,.200,.800,.600,.000
,,,Screwball,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,27,8,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=643396&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Isiah Kiner-Falefa,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,417,80,12,11,2,14,3,0,1,.225,.300,.075,.254
,,,Sinker,230,53,7,8,2,10,4,0,0,.264,.340,.076,.304
,,,Change,98,26,6,0,1,5,1,0,0,.231,.269,.039,.300
,,,Slider,209,52,12,3,0,9,3,2,1,.289,.481,.192,.359
,,,Curve,73,16,8,1,0,2,0,0,1,.188,.375,.188,.286
,,,Cutter,84,18,2,3,0,4,1,0,0,.278,.333,.056,.313
,,,Split,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=467100&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ivan Nova,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,253,47,25,0,0,3,0,0,0,.064,.064,.000,.136
,,,Sinker,97,16,7,0,0,1,0,0,0,.063,.063,.000,.111
,,,Change,8,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,50,26,22,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,49,20,16,0,0,1,0,0,0,.050,.050,.000,.250
,,,Cutter,17,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=435079&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ian Kinsler,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,10748,2385,267,315,25,369,147,12,107,.266,.473,.206,.263
,,,Sinker,5734,1320,132,147,20,280,73,13,42,.309,.480,.171,.319
,,,Change,2490,616,74,36,8,98,41,3,32,.283,.515,.232,.278
,,,Slider,4636,1096,220,65,10,193,44,5,24,.243,.358,.115,.284
,,,Curve,2297,601,108,14,17,117,35,3,18,.288,.446,.158,.326
,,,Cutter,2125,506,64,39,1,82,35,4,12,.263,.419,.156,.281
,,,Split,429,104,36,1,1,12,7,0,4,.221,.404,.183,.297
,,,Knuckler,143,35,3,2,1,6,1,1,3,.314,.657,.343,.276
,,,Screwball,10,4,0,0,1,1,1,0,0,.500,.750,.250,.500
,,,Slow Curve,15,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=474443&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ivan De Jesus,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1035,201,44,33,2,34,14,1,2,.254,.363,.110,.316
,,,Sinker,501,117,16,7,3,34,6,1,1,.359,.453,.094,.410
,,,Change,159,38,14,1,2,6,0,0,1,.184,.263,.079,.261
,,,Slider,434,106,39,2,0,17,2,0,0,.179,.198,.019,.284
,,,Curve,221,42,17,1,0,7,0,0,0,.167,.167,.000,.280
,,,Cutter,151,38,10,1,0,7,1,0,1,.237,.342,.105,.296
,,,Split,29,8,1,1,0,1,0,0,0,.125,.125,.000,.143
,,,Knuckler,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Screwball,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.A. Happ,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,365,80,26,6,0,5,2,0,0,.088,.113,.025,.130
,,,Sinker,249,54,17,4,0,8,0,0,0,.148,.148,.000,.216
,,,Change,39,5,4,0,0,1,0,0,0,.200,.200,.000,1.000
,,,Slider,42,12,10,0,0,2,0,0,0,.167,.167,.000,1.000
,,,Curve,68,19,17,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,53,13,6,0,0,1,0,0,1,.154,.385,.231,.167
,,,Split,12,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,6,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=400085&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ichiro Suzuki,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,9385,1974,229,144,12,458,72,13,29,.290,.384,.094,.316
,,,Sinker,4852,1188,95,82,3,308,54,10,12,.323,.416,.093,.344
,,,Change,2071,611,50,14,0,140,14,9,4,.273,.345,.072,.293
,,,Slider,2243,696,126,19,4,167,21,5,1,.279,.328,.049,.339
,,,Curve,2167,726,117,9,2,171,25,5,4,.282,.347,.065,.332
,,,Cutter,1442,366,34,14,1,95,12,2,4,.309,.385,.077,.332
,,,Split,491,175,28,6,0,40,5,3,2,.286,.383,.097,.331
,,,Knuckler,125,36,4,0,0,10,0,0,0,.278,.278,.000,.313
,,,Screwball,6,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,29,9,0,0,0,4,1,0,0,.556,.667,.111,.556
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605525&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.B. Wendelken,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543776&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.B. Shuck,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1929,436,36,42,1,89,14,7,4,.262,.353,.092,.278
,,,Sinker,994,268,11,20,1,57,11,3,2,.272,.358,.086,.278
,,,Change,396,130,17,1,0,21,2,0,0,.177,.192,.015,.204
,,,Slider,466,146,38,7,1,31,8,1,1,.281,.370,.089,.374
,,,Curve,406,95,24,2,1,20,1,0,0,.221,.232,.011,.296
,,,Cutter,197,57,3,5,0,11,4,1,0,.281,.386,.105,.296
,,,Split,92,35,6,0,0,5,1,0,0,.171,.200,.029,.207
,,,Knuckler,44,10,0,0,0,3,1,0,1,.500,.900,.400,.444
,,,Slow Curve,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605204&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.D. Davis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,173,34,14,7,0,1,2,0,2,.147,.382,.235,.167
,,,Sinker,73,25,4,0,0,7,1,0,1,.360,.520,.160,.400
,,,Change,38,11,3,0,0,1,0,0,1,.182,.455,.273,.143
,,,Slider,78,22,7,2,0,3,1,0,1,.227,.409,.182,.286
,,,Curve,55,12,6,0,1,2,0,0,0,.167,.167,.000,.333
,,,Cutter,21,7,3,1,0,1,0,0,0,.143,.143,.000,.250
,,,Split,2,1,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,16,2,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=400268&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.C. Boscan,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,56,9,2,1,1,2,1,0,0,.333,.444,.111,.429
,,,Sinker,36,11,0,1,0,5,0,0,0,.455,.455,.000,.455
,,,Change,12,4,1,0,0,1,0,0,0,.250,.250,.000,.333
,,,Slider,27,8,5,0,0,1,0,0,0,.125,.125,.000,.333
,,,Curve,14,3,1,0,0,1,0,0,0,.333,.333,.000,.500
,,,Cutter,3,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543331&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.J. Hoover,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641487&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.P. Crawford,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,442,75,25,19,1,12,2,1,1,.213,.307,.093,.306
,,,Sinker,148,30,8,4,1,5,1,0,0,.200,.233,.033,.273
,,,Change,78,20,5,2,0,3,0,0,0,.150,.150,.000,.200
,,,Slider,130,29,12,3,2,1,4,1,1,.241,.552,.310,.375
,,,Curve,88,12,6,0,0,1,2,0,0,.250,.417,.167,.500
,,,Cutter,55,6,3,0,0,2,0,0,0,.333,.333,.000,.667
,,,Split,11,5,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,5,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502110&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.D. Martinez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4589,948,269,114,4,137,62,4,79,.298,.621,.324,.338
,,,Sinker,2396,577,79,45,11,139,30,2,21,.333,.501,.168,.359
,,,Change,1184,300,88,21,0,40,16,0,17,.243,.467,.223,.287
,,,Slider,2568,654,231,31,0,91,32,3,29,.237,.428,.191,.320
,,,Curve,1390,346,117,19,1,70,22,2,12,.306,.486,.179,.433
,,,Cutter,1000,237,52,21,0,42,16,1,15,.312,.578,.266,.347
,,,Split,249,69,37,2,0,5,6,1,3,.217,.464,.246,.414
,,,Knuckler,58,15,1,2,0,3,1,0,1,.333,.600,.267,.308
,,,Screwball,5,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,15,3,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=434442&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.P. Howell,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,10,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,3,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=608638&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.T. Chargois,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=450317&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,J.P. Arencibia,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2322,488,172,36,7,46,24,0,32,.209,.455,.246,.247
,,,Sinker,1177,311,61,14,6,51,17,1,12,.261,.437,.177,.290
,,,Change,594,173,49,12,0,15,8,1,9,.191,.405,.214,.209
,,,Slider,1064,282,93,11,2,35,8,0,14,.202,.379,.177,.246
,,,Curve,690,180,71,2,1,21,9,2,5,.206,.361,.156,.308
